city,Neighbourhood,walk_score,transit_score,bike_score,population
NYC,Little Italy,100,100,95,3749
NYC,NoHo,100,100,94,3123
NYC,NoLita,100,100,94,6464
NYC,Bowery,100,100,96,16702
NYC,Union Square,100,100,91,7810
NYC,Flatiron District,100,100,90,4579
NYC,Chinatown,100,100,95,13724
NYC,NoMad,100,100,87,8137
NYC,Greenwich Village,100,100,94,34531
NYC,SoHo,100,100,93,11276
NYC,Gramercy Park,100,100,94,18635
NYC,Financial District,100,100,85,27033
NYC,West Village,100,100,93,34359
NYC,Koreatown,100,100,85,1910
NYC,Tribeca,99,100,88,17068
NYC,Theater District,99,100,84,13170
NYC,Midtown East,99,100,75,49976
NYC,Chelsea,99,100,93,52598
NYC,Murray Hill,99,100,80,22249
NYC,Garment District,99,100,85,5963
NYC,Kips Bay,99,100,87,39246
NYC,Upper East Side,99,99,77,208013
NYC,Civic Center,99,100,92,5279
NYC,Boerum Hill,98,100,95,22518
NYC,Two Bridges,98,99,93,28930
NYC,Hell's Kitchen,98,100,90,51840
NYC,Brooklyn Heights,98,100,88,20560
NYC,DUMBO,98,100,84,3006
NYC,Upper West Side,98,99,80,208776
NYC,East Village,98,96,95,60375
NYC,Prospect Heights,97,100,92,21765
NYC,Fordham Heights,97,99,60,49896
NYC,Fort Greene,97,100,91,20297
NYC,Cobble Hill,97,99,94,8605
NYC,Downtown Brooklyn,97,100,89,11077
NYC,Battery Park City,97,100,83,12258
NYC,Park Slope,97,97,89,61508
NYC,Carroll Gardens,97,89,95,18514
NYC,Central Harlem,97,100,76,111094
NYC,Gowanus,97,97,90,5661
NYC,Washington Heights,97,97,71,158951
NYC,Concourse,96,93,68,54406
NYC,West Harlem,96,99,74,107403
NYC,Williamsburg,96,93,82,138526
NYC,Clinton Hill,96,99,93,25887
NYC,East Tremont,96,94,66,16991
NYC,Inwood,96,88,71,38367
NYC,Greenpoint,96,71,87,34569
NYC,East Harlem,96,99,79,118829
NYC,Woodstock,96,95,70,19048
NYC,Mount Hope,96,94,63,30381
NYC,Fordham Manor,96,100,57,49585
NYC,Brighton Beach,96,78,63,30166
NYC,Lower East Side,96,93,94,38641
NYC,Belmont,96,92,61,23890
NYC,Mount Eden,96,93,61,24005
NYC,Concourse Village,96,98,68,29727
NYC,Longwood,96,93,72,20337
NYC,Crown Heights,95,100,82,125818
NYC,Borough Park,95,79,64,115327
NYC,Foxhurst,95,96,75,19644
NYC,Elmhurst,95,97,64,101918
NYC,Sunset Park,95,85,73,100989
NYC,South Bronx,95,95,73,74207
NYC,Ridgewood,95,90,70,64765
NYC,Bushwick,95,95,82,113629
NYC,Long Island City,95,87,78,71414
NYC,Kensington,95,86,84,49617
NYC,Woodside,94,95,68,55051
NYC,Parkchester,94,86,54,40412
NYC,Flatbush,94,95,75,167618
NYC,Stuyvesant Town - Peter Cooper Village,94,99,93,21268
NYC,Bedford-Stuyvesant,94,96,78,153040
NYC,Vinegar Hill,94,99,87,4630
NYC,Westchester Village,94,81,65,15332
NYC,Morrisania,94,92,70,51768
NYC,University Heights,93,98,57,35552
NYC,Bedford Park,93,98,69,26304
NYC,Jackson Heights,93,86,72,108979
NYC,Highbridge,93,94,62,38495
NYC,Corona,93,79,67,109607
